id,name,base_frequency,tdp,max_temp,url,socket,product_line,lithography,opn_tray,opn_pib,revision,cache_l1,cache_l2,cache_l3,first_mention_year
461,AMD FX 8-Core Black Edition FX-8310,3400,95,,https://web.archive.org/web/20150429071408/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=852&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 8-Core Black Edition,32,FD8310WMW8KHK,FD8310WMHKSBX,"",,1024,,2015
462,AMD FX 8-Core Black Edition FX-8320E,3200,95,,https://web.archive.org/web/20150429071403/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=851&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 8-Core Black Edition,32,,FD832EWMHKBOX,"",,1024,,2015
463,AMD FX 8-Core Black Edition FX-8370E,3300,95,,https://web.archive.org/web/20150429071358/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=850&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 8-Core Black Edition,32,,FD837EWMHKBOX,"",,1024,,2015
464,AMD FX 8-Core Black Edition FX-8370,4000,125,,https://web.archive.org/web/20150429071348/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=849&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 8-Core Black Edition,32,,FD8370FRHKBOX,"",,1024,,2015
465,AMD FX 6-Core Black Edition FX-6300,3500,95,,https://web.archive.org/web/20141027172042/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=811&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 6-Core Black Edition,32,FD6300WMW6KHK,FD6300WMHKBOX,"",,1024,,2014
466,AMD FX 6-Core Black Edition FX 6100,3300,95,70,https://web.archive.org/web/20150429071151/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=772&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 6-Core Black Edition,32,FD6100WMW6KGU,FD6100WMGUSBX,"",48,1024,8192,2015
467,AMD Athlon 64 3800+,2400,89,70,https://web.archive.org/web/20071227053910/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=94,939,AMD Athlon 64,130,ADA3800DEP4AS,,CG,128,512,0,2007
468,AMD FX 8-Core Black Edition FX-9370,4400,220,,https://web.archive.org/web/20131122050448/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=841&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 8-Core Black Edition,32,FD9370FHW8KHK,,"",,1024,,2013
469,AMD FX 8-Core Black Edition FX-9590,4700,220,,https://web.archive.org/web/20131122050443/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=840&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 8-Core Black Edition,32,FD9590FHW8KHK,,"",,1024,,2013
470,AMD Phenom II X4 910,2600,95,71,https://web.archive.org/web/20100508051456/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=525&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X4,45,HDX910WFK4DGI,,C2,128,512,6144,2010
471,AMD Phenom II X4 B93,2800,95,71,https://web.archive.org/web/20100508052932/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=599&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X4,45,HDXB93WFK4DGI,,C2,128,512,6144,2010
472,AMD Phenom II X4 B95,3000,95,71,https://web.archive.org/web/20100508051552/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=598&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X4,45,HDXB95WFK4DGI,,C2,128,512,6144,2010
473,AMD Business Class- AMD Phenom X4 Quad-Core Processors 9600B,2300,95,70,https://web.archive.org/web/20081207122641/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=405&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=,AM2+,AMD Business Class- AMD Phenom X4 Quad-Core Processors,65,HD960BWCJ4BGH,,B3,128,512,2048,2008
474,AMD Phenom X3 Triple-Core 8400,2100,95,70,https://web.archive.org/web/20081207121243/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=404&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=,AM2+,AMD Phenom X3 Triple-Core,65,HD8400WCJ3BGD,,B2,128,512,2048,2008
475,AMD Phenom X3 Triple-Core 8600,2300,95,70,https://web.archive.org/web/20081207121238/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=403&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=,AM2+,AMD Phenom X3 Triple-Core,65,HD8600WCJ3BGD,,B2,128,512,2048,2008
476,AMD FX 6-Core Black Edition FX-6200,3800,125,61.1,https://web.archive.org/web/20150429071206/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=783&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 6-Core Black Edition,32,FD6200FRW6KGU,FD6200FRGUBOX,"",48,1024,8192,2015
477,AMD FX 4-Core Black Edition FX-4300,3800,95,,https://web.archive.org/web/20150429071251/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=812&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 4-Core Black Edition,32,FD4300WMW4MHK,FD4300WMHKBOX,"",,1024,,2015
478,AMD FX 4-Core Black Edition FX-4130,3800,125,,https://web.archive.org/web/20150429071231/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=808&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 4-Core Black Edition,32,,FD4130FRGUBOX,"",,1024,,2015
479,AMD FX 4-Core Black Edition FX-4170,4200,125,61.1,https://web.archive.org/web/20150429071221/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=786&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 4-Core Black Edition,32,,FD4170FRGUSBX,"",48,1024,8192,2015
480,AMD FX 4-Core Black Edition FX-4100,3600,95,,https://web.archive.org/web/20150429071156/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=773&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 4-Core Black Edition,32,FD4100WMW4KGU,FD4100WMGUSBX,"",48,1024,8192,2015
481,AMD Athlon X4 760K,3800,100,,https://web.archive.org/web/20150429071342/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=848&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,FM2,AMD Athlon X4,32,,AD760KWOHLBOX,"",,1024,,2015
482,AMD Athlon X4 860K,3700,95,,https://web.archive.org/web/20150429071337/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=847&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,FM2+,AMD Athlon X4,28,,AD860KWOHLBOX,"",,1024,,2015
483,AMD Athlon X4 750k,3400,100,,https://web.archive.org/web/20150429071306/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=824&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,FM2,AMD Athlon X4,32,AD750KWOA44HJ,AD750KWOHJBOX,"",,1024,,2015
484,AMD Athlon 64 X2 Dual-Core 4400+,2200,89,49,https://web.archive.org/web/20071212084753/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=70,939,AMD Athlon 64 X2 Dual-Core,90,ADV4400DAA6CD,ADA4400CDBOX,E6,128,2048,0,2007
485,AMD FX 4-Core Black Edition FX-4130,3800,125,,https://web.archive.org/web/20131123022124/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=808&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 4-Core Black Edition,32,,FD4130FRGUBOX,"",,1024,,2013
486,AMD FX 4-Core Black Edition FX-4170,4200,125,61.1,https://web.archive.org/web/20131123174957/http://products.amd.com/pages/DesktopCPUDetail.aspx?id=786&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 4-Core Black Edition,32,,FD4170FRGUSBX,"",48,1024,8192,2013
